4RLZ:	HEADER    VIRAL PROTEIN                           18-OCT-14   4RLZ              
4UU3:	HEADER    LYASE                                   24-JUL-14   4UU3              
1VBW:	HEADER    PROTEIN BINDING                         03-MAR-04   1VBW              
4LPQ:	HEADER    TRANSFERASE                             16-JUL-13   4LPQ              
4PQQ:	HEADER    PROTEIN BINDING                         04-MAR-14   4PQQ              
4BB9:	HEADER    PROTEIN-BINDING PROTEIN                 21-SEP-12   4BB9              
2OY9:	HEADER    STRUCTURAL GENOMICS, UNKNOWN FUNCTION   21-FEB-07   2OY9              
2VFR:	HEADER    OXIDOREDUCTASE                          05-NOV-07   2VFR              
1PZ4:	HEADER    LIPID BINDING PROTEIN                   09-JUL-03   1PZ4              
4B4D:	HEADER    OXIDOREDUCTASE                          30-JUL-12   4B4D              
1A4I:	HEADER    OXIDOREDUCTASE                          30-JAN-98   1A4I              
2O8Q:	HEADER    METAL BINDING PROTEIN                   12-DEC-06   2O8Q              
5IHW:	HEADER    MEMBRANE PROTEIN                        29-FEB-16   5IHW              
4GJZ:	HEADER    OXIDOREDUCTASE                          10-AUG-12   4GJZ              
3W5H:	HEADER    OXIDOREDUCTASE                          30-JAN-13   3W5H              
1JUH:	HEADER    OXIDOREDUCTASE                          24-AUG-01   1JUH              
2VFO:	HEADER    HYDROLASE                               05-NOV-07   2VFO              
5IHF:	HEADER    UNKNOWN FUNCTION                        29-FEB-16   5IHF              
3FRH:	HEADER    TRANSFERASE                             08-JAN-09   3FRH              
2XIO:	HEADER    HYDROLASE                               30-JUN-10   2XIO              
5J93:	HEADER    OXIDOREDUCTASE                          08-APR-16   5J93              
5J90:	HEADER    CHITIN-BINDING PROTEIN                  08-APR-16   5J90              
3PIU:	HEADER    LYASE                                   08-NOV-10   3PIU              
1JM1:	HEADER    ELECTRON TRANSPORT, OXIDOREDUCTASE      17-JUL-01   1JM1              
1W6S:	HEADER    OXIDOREDUCTASE                          23-AUG-04   1W6S              
4UJ7:	HEADER    MEMBRANE PROTEIN                        08-APR-15   4UJ7              
2QSW:	HEADER    HYDROLASE                               31-JUL-07   2QSW              
5SY4:	HEADER    CHAPERONE                               10-AUG-16   5SY4              
3U65:	HEADER    TRANSPORT PROTEIN                       12-OCT-11   3U65              
3JTM:	HEADER    OXIDOREDUCTASE                          13-SEP-09   3JTM              
2QSB:	HEADER    STRUCTURAL GENOMICS, UNKNOWN FUNCTION   30-JUL-07   2QSB              
4UNU:	HEADER    IMMUNE SYSTEM                           30-MAY-14   4UNU              
3JTZ:	HEADER    DNA BINDING PROTEIN                     14-SEP-09   3JTZ              
2FR5:	HEADER    HYDROLASE                               19-JAN-06   2FR5              
2QSK:	HEADER    SUGAR BINDING PROTEIN                   31-JUL-07   2QSK              
3WDN:	HEADER    OXIDOREDUCTASE                          19-JUN-13   3WDN              
1OI0:	HEADER    HYDROLASE                               04-JUN-03   1OI0              
3X2M:	HEADER    HYDROLASE                               22-DEC-14   3X2M              
2B97:	HEADER    SURFACE ACTIVE PROTEIN                  11-OCT-05   2B97              
2G7O:	HEADER    DNA BINDING PROTEIN                     28-FEB-06   2G7O              
4KNK:	HEADER    HYDROLASE                               10-MAY-13   4KNK              
3BLN:	HEADER    TRANSFERASE                             11-DEC-07   3BLN              
4PH2:	HEADER    VIRAL PROTEIN                           03-MAY-14   4PH2              
2EPL:	HEADER    HYDROLASE                               30-MAR-07   2EPL              
